subcluster_id,count,percent
C10-FastStart-P/C,20511,20.51
C4-FastStart-P/C,13315,13.32
C3-FastStart-P/C,8565,8.57
C10-FastStart-A/M,7179,7.18
C10-RoutineCare-P/C,5793,5.79
C4-FastStart-A/M,4455,4.46
C4-RoutineCare-P/C,4341,4.34
C7-FastStart-P/C,4128,4.13
C10-SafetyFirst-P/C,3872,3.87
C3-RoutineCare-P/C,2876,2.88
C8-FastStart-P/C,2837,2.84
C10-RoutineCare-A/M,2045,2.04
C5-FastStart-A/M,1898,1.9
C4-RoutineCare-A/M,1499,1.5
C7-RoutineCare-P/C,1408,1.41
C10-FastStart-PC/R,1388,1.39
C10-SafetyFirst-A/M,1338,1.34
C2-FastStart-A/M,1222,1.22
C7-FastStart-A/M,1154,1.15
C8-FastStart-A/M,1036,1.04
C8-RoutineCare-P/C,925,0.92
C4-FastStart-PC/R,891,0.89
C2-FastStart-P/C,783,0.78
C3-FastStart-A/M,705,0.7
C5-RoutineCare-A/M,665,0.66
C9-FastStart-P/C,455,0.46
C10-RoutineCare-PC/R,405,0.4
C2-RoutineCare-A/M,390,0.39
C7-RoutineCare-A/M,370,0.37
C3-FastStart-PC/R,323,0.32
C4-RoutineCare-PC/R,314,0.31
C2-RoutineCare-P/C,293,0.29
C8-RoutineCare-A/M,288,0.29
C7-FastStart-PC/R,266,0.27
C1-FastStart-PC/R,251,0.25
C3-RoutineCare-A/M,250,0.25
C10-SafetyFirst-PC/R,250,0.25
C8-SafetyFirst-P/C,245,0.24
C8-FastStart-PC/R,184,0.18
C9-FastStart-A/M,157,0.16
C9-RoutineCare-P/C,156,0.16
C3-RoutineCare-PC/R,119,0.12
C7-RoutineCare-PC/R,105,0.1
C8-SafetyFirst-A/M,82,0.08
C1-RoutineCare-PC/R,76,0.08
C8-RoutineCare-PC/R,58,0.06
C9-RoutineCare-A/M,43,0.04
C9-FastStart-PC/R,31,0.03
C8-SafetyFirst-PC/R,17,0.02
C2-FastStart-PC/R,12,0.01
C6-FastStart-P/C,10,0.01
C9-RoutineCare-PC/R,6,0.01
C6-FastStart-A/M,6,0.01
C2-RoutineCare-PC/R,5,0.0
C6-RoutineCare-PC/R,1,0.0
C6-RoutineCare-P/C,1,0.0
C6-RoutineCare-A/M,1,0.0
C1-FastStart-P/C,1,0.0
